[WARN] 2023-02-14 13:25:46,604 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 13:25:49,650 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRARDO_ASIMETRICO_CONTRASEÑA_CIFRADA_SIMETRICA
[INFO] 2023-02-14 13:25:49,730 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe7ce7
[WARN] 2023-02-14 13:26:20,730 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 13:26:23,326 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRARDO_ASIMETRICO_CONTRASEÑA_CIFRADA_SIMETRICA
[INFO] 2023-02-14 13:26:23,402 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@1813d
[WARN] 2023-02-14 13:35:44,763 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 13:35:46,840 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRARDO_ASIMETRICO_CONTRASEÑA_CIFRADA_SIMETRICA
[INFO] 2023-02-14 13:35:46,925 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe7885
[WARN] 2023-02-14 13:39:18,269 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 13:39:20,864 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRARDO_ASIMETRICO_CONTRASEÑA_CIFRADA_SIMETRICA
[INFO] 2023-02-14 13:39:20,945 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe7d66
[WARN] 2023-02-14 13:39:51,545 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 13:39:53,175 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónCIFRARDO_ASIMETRICO_CONTRASEÑA_CIFRADA_SIMETRICA
[INFO] 2023-02-14 13:39:53,252 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateSecretKey - La key simetrica generada es:com.sun.crypto.provider.DESKey@fffe78d6
[WARN] 2023-02-14 13:45:09,168 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[WARN] 2023-02-14 14:14:34,609 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:14:38,072 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónHASH_STRING
[INFO] 2023-02-14 14:14:39,383 [main]  com.mycompany.psp_ev2_libexamen.managers.UIManager stringToHashedBase64 - Se va a hashear el input asd
[INFO] 2023-02-14 14:14:39,396 [main]  com.mycompany.psp_ev2_libexamen.managers.UIManager stringToHashedBase64 - El Hash del String: asd en Base64 es: 5U7n4oX7sCdSeRQ6vExVTlMU57QX7KyDpZhKlk+suq1ohmooQcPoPd8SWimFVmJhxAFPn5YOxgJTrrzalROptA==
[INFO] 2023-02-14 14:14:43,419 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónFIRMA_DIGITAL
[INFO] 2023-02-14 14:14:43,477 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateKeyPair - Se ha generado un par de claves asimetricas con el algoritmo: DSA
[INFO] 2023-02-14 14:14:43,481 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager makeSignature - Se ha creado la firma digital satisfactoriamente
[WARN] 2023-02-14 14:14:43,514 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager encryptBytesRSA - No se han podido encriptar de manera asimetrica con el algoritmo: DSA
[WARN] 2023-02-14 14:15:43,973 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:15:46,365 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónFIRMA_DIGITAL
[INFO] 2023-02-14 14:15:46,433 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateKeyPair - Se ha generado un par de claves asimetricas con el algoritmo: DSA
[INFO] 2023-02-14 14:15:46,436 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager makeSignature - Se ha creado la firma digital satisfactoriamente
[WARN] 2023-02-14 14:15:46,470 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager encryptBytesRSA - No se han podido encriptar de manera asimetrica con el algoritmo: DSA
[WARN] 2023-02-14 14:16:17,421 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:16:18,945 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónFIRMA_DIGITAL
[INFO] 2023-02-14 14:16:19,015 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateKeyPair - Se ha generado un par de claves asimetricas con el algoritmo: DSA
[INFO] 2023-02-14 14:16:19,019 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager makeSignature - Se ha creado la firma digital satisfactoriamente
[WARN] 2023-02-14 14:16:55,875 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:17:03,700 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónENVIAR_CORREO
[WARN] 2023-02-14 14:17:20,181 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:17:26,804 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónFIRMA_DIGITAL
[INFO] 2023-02-14 14:17:42,199 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateKeyPair - Se ha generado un par de claves asimetricas con el algoritmo: DSA
[INFO] 2023-02-14 14:17:54,847 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager makeSignature - Se ha creado la firma digital satisfactoriamente
[WARN] 2023-02-14 14:24:03,906 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:24:09,443 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónFIRMA_DIGITAL
[INFO] 2023-02-14 14:24:09,513 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateKeyPair - Se ha generado un par de claves asimetricas con el algoritmo: DSA
[INFO] 2023-02-14 14:24:09,517 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager makeSignature - Se ha creado la firma digital satisfactoriamente
[WARN] 2023-02-14 14:24:44,826 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:24:56,912 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónFIRMA_DIGITAL
[INFO] 2023-02-14 14:25:04,387 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager generateKeyPair - Se ha generado un par de claves asimetricas con el algoritmo: DSA
[INFO] 2023-02-14 14:25:07,732 [main]  com.mycompany.psp_ev2_libexamen.managers.CipherManager makeSignature - Se ha creado la firma digital satisfactoriamente
[WARN] 2023-02-14 14:37:15,900 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:37:19,038 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónSALIR
[INFO] 2023-02-14 14:37:19,038 [main]  com.mycompany.psp_ev2_libexamen.Main main - Cerramos la apliación
[ERROR] 2023-02-14 14:48:15,509 [main]  com.mycompany.psp_ev2_libexamen.Main main - No se ha  pasado un número de argumentos válido
[WARN] 2023-02-14 14:48:45,438 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[WARN] 2023-02-14 14:56:55,271 [main]  com.mycompany.psp_ev2_libexamen.managers.UserManager getAllUsers - El fichero users.json estaba vacío. Se ha generado el usuario por defecto:Pablo
[INFO] 2023-02-14 14:57:09,747 [main]  com.mycompany.psp_ev2_libexamen.Main main - Se ha introducido la opciónLISTAR_CONTENIDO
